accel_STD,accel_RMS,accel_DomFreq1,accel_DomFreq2,ang_STD,ang_RMS,ang_DomFreq1,ang_DomFreq2,TargetSpeed
1.4542127564572713,3.991331857914097,1.9895638992537314,1.97255907960199,0.7884987207923481,1.817756859428675,1.7685012437810945,1.7514964241293534,4.0
1.8118752037651298,5.088506799570515,1.8193359375,1.836181640625,0.8209983228958004,1.9514777009720876,1.58349609375,1.566650390625,4.0
1.669362928471305,4.627791049734204,1.5474385883084578,1.564443407960199,0.8931069004901703,2.1598587916806045,1.4794193097014925,1.4964241293532339,4.0
1.574150612534857,4.591702661685894,1.6035488946643286,1.5866694326152304,0.9004995076600536,2.13626044658702,1.384115888026052,1.4009953500751502,4.0
1.6292591937541154,5.227409355639614,1.7038727567298109,1.6868340291625126,1.1774910558775535,2.3064728792806437,1.3971756605184449,1.3801369329511468,4.0
1.5968959776753398,4.9987379835886,1.7157795415009942,1.7327674577534793,1.0447285441582206,2.2039535903851126,1.7667432902584495,1.7837312065109345,4.0
1.8086742864428413,4.223469450925217,1.8660899735649548,1.8830544278700907,0.650052820560729,1.9049333359707772,2.442881419939577,2.459845874244713,4.0
1.6592485236575945,3.95949564933483,1.8886073573573574,1.8717447916666667,0.5821893847784997,2.012187863992823,2.563109984984985,2.579972550675676,4.0
1.80692907479004,4.564833747559395,2.0065687189054726,1.9895638992537314,0.7344157829119663,2.067325048738794,1.9895638992537314,1.97255907960199,4.0
1.5860237092467009,5.138356473268161,2.114169568900602,2.0972562123493974,1.0736377423514194,2.2411587970563773,1.8604692206325302,1.8435558640813252,4.0
1.2161946895845865,4.109268965226226,1.8365205223880596,1.853525342039801,0.7690185204569165,1.7591365576814746,1.6664723258706469,1.683477145522388,4.0
1.3339565255671078,3.9949315714877476,1.6356688719969972,1.6525314376876878,0.7463852657871309,1.665172663719892,1.5682186092342343,1.5513560435435436,4.0
1.2497616405240868,3.9021818072897188,1.2061420539264414,1.2231299701789264,0.8384487533610128,1.752344144282167,1.0022870588966204,1.0192749751491055,4.0
1.4381488021779567,4.600786479710187,1.3334775018787575,1.3503569639278556,0.843155995376135,1.8498542833329379,1.384115888026052,1.3672364259769538,4.0
1.752317733478642,4.506639387773175,1.785506063432836,1.7685012437810945,0.7536290011950393,1.885470005822724,1.7685012437810945,1.7514964241293534,4.0
